strategy_id,strategy_name,experiment_name,variant,changed_component,status,gender_accuracy,gender_precision,gender_recall,gender_f1,age_mae,age_rmse,age_r2,samples,trainable_parameters,training_seconds,checkpoint,message,age_mae_0_12,age_mae_13_19,age_mae_20_39,age_mae_40_59,age_mae_60_plus,age_support_0_12,age_support_13_19,age_support_20_39,age_support_40_59,age_support_60_plus,raw_age_mae,raw_age_mae_0_12,raw_age_mae_13_19,raw_age_mae_20_39,raw_age_mae_40_59,raw_age_mae_60_plus,raw_age_r2,raw_age_rmse,raw_age_support_0_12,raw_age_support_13_19,raw_age_support_20_39,raw_age_support_40_59,raw_age_support_60_plus,raw_gender_accuracy,raw_gender_f1,raw_gender_precision,raw_gender_recall,raw_samples,test_samples,train_samples,validation_samples
E1,Baseline clasico,classical_base,base,ninguno,NO_EJECUTADO,,,,,,,,,,,,"Implementado, pero no fue seleccionado en esta ejecucion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,Baseline clasico,classical_pca_low,ablacion,PCA=50 componentes (informacion insuficiente),NO_EJECUTADO,,,,,,,,,,,,"Implementado, pero no fue seleccionado en esta ejecucion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,MLP multitarea,mlp_base,base,ninguno,NO_EJECUTADO,,,,,,,,,,,,"Implementado, pero no fue seleccionado en esta ejecucion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,MLP multitarea,mlp_no_dropout,ablacion,dropout=0.0,NO_EJECUTADO,,,,,,,,,,,,"Implementado, pero no fue seleccionado en esta ejecucion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,MLP multitarea,mlp_lambda_low,ablacion,lambda_age=0.001,NO_EJECUTADO,,,,,,,,,,,,"Implementado, pero no fue seleccionado en esta ejecucion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,MLP multitarea,mlp_lambda_high,ablacion,lambda_age=0.1,NO_EJECUTADO,,,,,,,,,,,,"Implementado, pero no fue seleccionado en esta ejecucion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,CNN simple multitarea,cnn_base,base,ninguno,COMPLETADO,0.8746134382906944,0.8747785091400146,0.8746134638786316,0.8744453191757202,9.660715103149414,13.254334449768066,0.5383161306381226,3557,286755,135.84668841099483,/home/alumnos/pregrado/nabil.haddad/DeepLearning/Deep_Learning/Lab_03/artifacts/checkpoints/cnn_base/best_model.pt,,9.513436317443848,8.636253356933594,6.206820964813232,11.17191219329834,24.43397331237793,509,197,1827,644,380,17.883453369140625,17.678773880004883,11.28657054901123,12.124037742614746,23.081192016601562,37.919044494628906,-0.28315794467926025,23.062442779541016,520,181,1526,538,364,0.6909555768616171,0.6892908811569214,0.6928424835205078,0.690955638885498,3129,3557,16593,3555
E3,CNN simple multitarea,cnn_no_augmentation,ablacion,sin aumentacion,NO_EJECUTADO,,,,,,,,,,,,"Implementado, pero no fue seleccionado en esta ejecucion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,CNN simple multitarea,cnn_no_dropout,ablacion,dropout=0.0,NO_EJECUTADO,,,,,,,,,,,,"Implementado, pero no fue seleccionado en esta ejecucion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,CNN simple multitarea,cnn_lambda_low,ablacion,lambda_age=0.001,NO_EJECUTADO,,,,,,,,,,,,"Implementado, pero no fue seleccionado en esta ejecucion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
